name,area,perimeter,ratio
low_risk_1,8237.0,347.0,1.078549
low_risk_10,1412.0,130.0,0.975935
low_risk_11,3052.0,190.0,0.970189
low_risk_2,10065.0,351.0,0.98695
low_risk_3,4866.0,284.0,1.14849
low_risk_4,5181.0,279.0,1.093434
low_risk_5,4609.0,264.0,1.0969719999999998
low_risk_6,6379.0,284.0,1.003084
low_risk_7,2845.0,225.0,1.189971
low_risk_8,6907.0,334.0,1.133697
low_risk_9,3097.0,185.0,0.9377700000000001
medium_risk_1,1197.0,119.0,0.970275
medium_risk_10,11767.0,440.0,1.144234
medium_risk_11,27463.0,692.0,1.177951
medium_risk_12,14529.0,413.0,0.966557
medium_risk_13,6476.0,293.0,1.0270920000000001
medium_risk_14,9460.0,345.0,1.0006190000000001
medium_risk_15,7948.0,334.0,1.056848
medium_risk_16,18188.0,514.0,1.075142
medium_risk_2,8529.0,329.0,1.004944
medium_risk_3,2124.0,160.0,0.97935
medium_risk_4,2541.0,183.0,1.024103
medium_risk_5,21198.0,665.0,1.288455
medium_risk_6,7580.0,426.0,1.3802889999999999
medium_risk_7,31654.0,694.0,1.100374
medium_risk_8,13634.0,444.0,1.072671
medium_risk_9,4221.0,329.0,1.42851
melanoma_1,11891.0,418.0,1.08134
melanoma_10,25660.0,711.0,1.252092
melanoma_11,15667.0,528.0,1.18997
melanoma_12,26815.0,619.0,1.066343
melanoma_13,17810.0,491.0,1.037874
melanoma_14,13754.0,476.0,1.144953
melanoma_15,18411.0,647.0,1.345119
melanoma_16,11748.0,489.0,1.272688
melanoma_17,15085.0,790.0,1.814469
melanoma_18,41071.0,704.0,0.979941
melanoma_19,22297.0,640.0,1.209071
melanoma_2,7609.0,353.0,1.1415790000000001
melanoma_20,33284.0,773.0,1.1952450000000001
melanoma_21,10992.0,497.0,1.337252
melanoma_22,16504.0,522.0,1.146228
melanoma_23,33033.0,1797.0,2.789132
melanoma_24,34102.0,843.0,1.2877530000000001
melanoma_25,6653.0,294.0,1.0167959999999998
melanoma_26,15477.0,517.0,1.172309
melanoma_27,4469.0,439.0,1.852484
melanoma_3,9807.0,507.0,1.444225
melanoma_4,12643.0,532.0,1.334694
melanoma_5,9852.0,469.0,1.332925
melanoma_6,46718.0,1106.0,1.443471
melanoma_7,38241.0,801.0,1.155481
melanoma_8,14603.0,606.0,1.414642
melanoma_9,25782.0,779.0,1.368593
